image_name,image_path,raw_text_path,baseline_text_path,char_count,word_count,baseline_char_count,baseline_word_count,method,baseline_method,ocr_lang,ocr_psm,ocr_oem,preprocess
00040534.png,data/raw/images/00040534.png,output/raw_text/00040534.txt,output/raw_text_baseline/00040534.txt,876,159,1141,201,custom_preprocessed_tesseract,vanilla_tesseract,eng,6,3,True
00070353.png,data/raw/images/00070353.png,output/raw_text/00070353.txt,output/raw_text_baseline/00070353.txt,854,138,775,111,custom_preprocessed_tesseract,vanilla_tesseract,eng,6,3,True
00093726.png,data/raw/images/00093726.png,output/raw_text/00093726.txt,output/raw_text_baseline/00093726.txt,1411,226,1363,215,custom_preprocessed_tesseract,vanilla_tesseract,eng,6,3,True
00283813.png,data/raw/images/00283813.png,output/raw_text/00283813.txt,output/raw_text_baseline/00283813.txt,1455,289,1153,213,custom_preprocessed_tesseract,vanilla_tesseract,eng,6,3,True
00836244.png,data/raw/images/00836244.png,output/raw_text/00836244.txt,output/raw_text_baseline/00836244.txt,515,134,683,125,custom_preprocessed_tesseract,vanilla_tesseract,eng,6,3,True
00836816.png,data/raw/images/00836816.png,output/raw_text/00836816.txt,output/raw_text_baseline/00836816.txt,385,72,786,127,custom_preprocessed_tesseract,vanilla_tesseract,eng,6,3,True
00837285.png,data/raw/images/00837285.png,output/raw_text/00837285.txt,output/raw_text_baseline/00837285.txt,1138,207,1258,223,custom_preprocessed_tesseract,vanilla_tesseract,eng,6,3,True
00838511_00838525.png,data/raw/images/00838511_00838525.png,output/raw_text/00838511_00838525.txt,output/raw_text_baseline/00838511_00838525.txt,80,20,269,41,custom_preprocessed_tesseract,vanilla_tesseract,eng,6,3,True
660978.png,data/raw/images/660978.png,output/raw_text/660978.txt,output/raw_text_baseline/660978.txt,599,102,613,93,custom_preprocessed_tesseract,vanilla_tesseract,eng,6,3,True
716552.png,data/raw/images/716552.png,output/raw_text/716552.txt,output/raw_text_baseline/716552.txt,901,171,1171,183,custom_preprocessed_tesseract,vanilla_tesseract,eng,6,3,True
